,Sales Representative,Location,Customer,Product,Order Date,Quantity, Unit Price , Total Sale Amount 
,Yuvan,Delhi,Lori Shaw,Essential,2-Jan-16,7, ₹ 16.32 , ₹ 114.24 
,Yuvan,Kolkata,Sandra Hicks,Gadgets,2-Jan-16,1, ₹ 53.35 , ₹ 53.35 
,Gowtham,Delhi,Roger Gomez,Essential,2-Jan-16,7, ₹ 16.32 , ₹ 114.24 
,Yuvan,Chennai,Kimberly Coleman,Electronics,2-Jan-16,1, ₹ 17.83 , ₹ 17.83 
,Abi,Kolkata,Heather Andrews,Cosmetic,2-Jan-16,7, ₹ 12.42 , ₹ 86.94 
,Kishore,Gurgon,Rachel Harris,Cosmetic,3-Jan-16,2, ₹ 12.42 , ₹ 24.84 
,Kishore,Banglore,Susan Jacobs,Gadgets,3-Jan-16,9, ₹ 53.35 , ₹ 480.15 
,Yuvan,Delhi,Gary Young,Electronics,3-Jan-16,3, ₹ 17.83 , ₹ 53.49 
,Gowtham,Kolkata,Anthony Berry,Electronics,3-Jan-16,9, ₹ 17.83 , ₹ 160.47 
,Kishore,Banglore,Joan Robinson,Cosmetic,3-Jan-16,2, ₹ 12.42 , ₹ 24.84 
,Yuvan,Kolkata,Frank Ramos,Essential,3-Jan-16,1, ₹ 16.32 , ₹ 16.32 
,Hari,Gurgon,Raymond Matthews,Cosmetic,3-Jan-16,1, ₹ 12.42 , ₹ 12.42 
,Hari,Banglore,Mary Rose,Electronics,3-Jan-16,10, ₹ 17.83 , ₹ 178.30 
,Kishore,Banglore,Jerry Collins,Electronics,3-Jan-16,9, ₹ 17.83 , ₹ 160.47 
,Gowtham,Chennai,Randy Willis,Electronics,3-Jan-16,3, ₹ 17.83 , ₹ 53.49 
,Hari,Banglore,Denise Henry,Gadgets,3-Jan-16,9, ₹ 53.35 , ₹ 480.15 
,Yuvan,Kolkata,Albert Miller,Cosmetic,3-Jan-16,6, ₹ 12.42 , ₹ 74.52 
,Kishore,Banglore,Evelyn Elliott,Gadgets,3-Jan-16,3, ₹ 53.35 , ₹ 160.05 
,Abi,Delhi,Mary Nelson,Electronics,3-Jan-16,8, ₹ 17.83 , ₹ 142.64 
,Gowtham,Kolkata,Mark Parker,Electronics,3-Jan-16,5, ₹ 17.83 , ₹ 89.15 
,Gowtham,Chennai,Victor Bell,Essential,3-Jan-16,3, ₹ 16.32 , ₹ 48.96 
,Gowtham,Delhi,Walter Kennedy,Cosmetic,3-Jan-16,2, ₹ 12.42 , ₹ 24.84 
,Yuvan,Kolkata,Anthony Berry,Essential,3-Jan-16,6, ₹ 16.32 , ₹ 97.92 
,Gowtham,Delhi,William Payne,Cosmetic,3-Jan-16,1, ₹ 12.42 , ₹ 12.42 
,Hari,Banglore,Joseph Dixon,Gadgets,3-Jan-16,6, ₹ 53.35 , ₹ 320.10 
,Kishore,Banglore,Andrew Adams,Electronics,4-Jan-16,1, ₹ 17.83 , ₹ 17.83 
,Abi,Mumbai,Cheryl Henderson,Cosmetic,4-Jan-16,7, ₹ 12.42 , ₹ 86.94 
,Yuvan,Mumbai,Carlos Stephens,Cosmetic,4-Jan-16,1, ₹ 12.42 , ₹ 12.42 
,Kishore,Banglore,Daniel Perez,Cosmetic,4-Jan-16,3, ₹ 12.42 , ₹ 37.26 
,Abi,Delhi,Carl Howard,Electronics,4-Jan-16,9, ₹ 17.83 , ₹ 160.47 
,Gowtham,Delhi,Alice Davis,Cosmetic,4-Jan-16,9, ₹ 12.42 , ₹ 111.78 
,Hari,Gurgon,Michael Cruz,Electronics,4-Jan-16,2, ₹ 17.83 , ₹ 35.66 
,Yuvan,Kolkata,Anthony Berry,Essential,4-Jan-16,4, ₹ 16.32 , ₹ 65.28 
,Yuvan,Kolkata,Betty Stewart,Cosmetic,4-Jan-16,10, ₹ 12.42 , ₹ 124.20 
,Hari,Banglore,Jacqueline Little,Cosmetic,4-Jan-16,5, ₹ 12.42 , ₹ 62.10 
,Kishore,Gurgon,Anna Garcia,Electronics,4-Jan-16,3, ₹ 17.83 , ₹ 53.49 
,Gowtham,Kolkata,Cheryl Riley,Cosmetic,4-Jan-16,9, ₹ 12.42 , ₹ 111.78 
,Yuvan,Mumbai,William Collins,Gadgets,4-Jan-16,7, ₹ 53.35 , ₹ 373.45 
,Yuvan,Mumbai,Jane Watkins,Essential,5-Jan-16,2, ₹ 16.32 , ₹ 32.64 
,Yuvan,Delhi,Walter Kennedy,Gadgets,5-Jan-16,8, ₹ 53.35 , ₹ 426.80 
,Hari,Gurgon,Phillip Harrison,Cosmetic,5-Jan-16,2, ₹ 12.42 , ₹ 24.84 
,Hari,Gurgon,Linda Wagner,Gadgets,5-Jan-16,6, ₹ 53.35 , ₹ 320.10 
,Gowtham,Kolkata,Christina Oliver,Essential,5-Jan-16,9, ₹ 16.32 , ₹ 146.88 
,Yuvan,Kolkata,Joseph Ryan,Essential,5-Jan-16,6, ₹ 16.32 , ₹ 97.92 
,Kishore,Gurgon,Henry Stanley,Electronics,5-Jan-16,5, ₹ 17.83 , ₹ 89.15 
,Hari,Banglore,Diana Hamilton,Cosmetic,5-Jan-16,4, ₹ 12.42 , ₹ 49.68 
,Abi,Delhi,Kevin Torres,Electronics,5-Jan-16,10, ₹ 17.83 , ₹ 178.30 
,Gowtham,Delhi,Jean Torres,Cosmetic,5-Jan-16,8, ₹ 12.42 , ₹ 99.36 
,Yuvan,Kolkata,Billy Reed,Essential,5-Jan-16,5, ₹ 16.32 , ₹ 81.60 
,Abi,Chennai,Dorothy Baker,Essential,5-Jan-16,6, ₹ 16.32 , ₹ 97.92 
,Yuvan,Delhi,Brandon King,Electronics,5-Jan-16,5, ₹ 17.83 , ₹ 89.15 
,Abi,Kolkata,Ralph Gomez,Gadgets,5-Jan-16,1, ₹ 53.35 , ₹ 53.35 
,Gowtham,Chennai,Stephen Welch,Gadgets,5-Jan-16,3, ₹ 53.35 , ₹ 160.05 
,Kishore,Banglore,Harold Duncan,Electronics,6-Jan-16,1, ₹ 17.83 , ₹ 17.83 
,Abi,Kolkata,Mark Alexander,Gadgets,6-Jan-16,6, ₹ 53.35 , ₹ 320.10 
,Yuvan,Chennai,Heather Larson,Cosmetic,6-Jan-16,6, ₹ 12.42 , ₹ 74.52 
,Yuvan,Delhi,Carl Howard,Cosmetic,6-Jan-16,9, ₹ 12.42 , ₹ 111.78 
,Kishore,Gurgon,Rose Matthews,Cosmetic,6-Jan-16,2, ₹ 12.42 , ₹ 24.84 
,Gowtham,Kolkata,Ralph Gomez,Cosmetic,6-Jan-16,3, ₹ 12.42 , ₹ 37.26 
,Kishore,Banglore,Timothy Gonzales,Essential,6-Jan-16,6, ₹ 16.32 , ₹ 97.92 
,Gowtham,Delhi,Craig Collins,Cosmetic,6-Jan-16,2, ₹ 12.42 , ₹ 24.84 
,Yuvan,Delhi,Frank Murphy,Cosmetic,6-Jan-16,1, ₹ 12.42 , ₹ 12.42 
,Gowtham,Delhi,Lillian Burke,Gadgets,6-Jan-16,7, ₹ 53.35 , ₹ 373.45 
,Gowtham,Delhi,Nancy Meyer,Cosmetic,6-Jan-16,1, ₹ 12.42 , ₹ 12.42 
,Abi,Delhi,Jerry Butler,Electronics,6-Jan-16,6, ₹ 17.83 , ₹ 106.98 
,Yuvan,Delhi,Harold Rodriguez,Electronics,6-Jan-16,4, ₹ 17.83 , ₹ 71.32 
,Yuvan,Kolkata,Eric Stanley,Cosmetic,7-Jan-16,1, ₹ 12.42 , ₹ 12.42 
,Abi,Delhi,Joe Russell,Cosmetic,7-Jan-16,8, ₹ 12.42 , ₹ 99.36 
,Kishore,Banglore,Gerald Mcdonald,Electronics,7-Jan-16,3, ₹ 17.83 , ₹ 53.49 
,Kishore,Banglore,Ruth Kennedy,Gadgets,7-Jan-16,9, ₹ 53.35 , ₹ 480.15 
,Hari,Gurgon,Anna Garcia,Cosmetic,7-Jan-16,4, ₹ 12.42 , ₹ 49.68 
,Kishore,Gurgon,Gloria Mcdonald,Cosmetic,7-Jan-16,1, ₹ 12.42 , ₹ 12.42 
,Kishore,Banglore,Adam Martin,Cosmetic,7-Jan-16,8, ₹ 12.42 , ₹ 99.36 
,Kishore,Banglore,Philip Rodriguez,Electronics,7-Jan-16,4, ₹ 17.83 , ₹ 71.32 
,Gowtham,Delhi,Steven Kelly,Cosmetic,7-Jan-16,7, ₹ 12.42 , ₹ 86.94 
,Yuvan,Chennai,Ruth Burton,Cosmetic,7-Jan-16,6, ₹ 12.42 , ₹ 74.52 
,Kishore,Banglore,Rachel Stanley,Cosmetic,7-Jan-16,3, ₹ 12.42 , ₹ 37.26 
,Hari,Banglore,Brenda Nelson,Electronics,8-Jan-16,8, ₹ 17.83 , ₹ 142.64 
,Hari,Gurgon,Edward Taylor,Cosmetic,8-Jan-16,4, ₹ 12.42 , ₹ 49.68 
,Hari,Banglore,Philip Dean,Electronics,8-Jan-16,3, ₹ 17.83 , ₹ 53.49 
,Abi,Delhi,Jerry Butler,Gadgets,8-Jan-16,7, ₹ 53.35 , ₹ 373.45 
,Hari,Banglore,Laura Gutierrez,Gadgets,8-Jan-16,7, ₹ 53.35 , ₹ 373.45 
,Abi,Delhi,Andrew Howard,Essential,8-Jan-16,1, ₹ 16.32 , ₹ 16.32 
,Abi,Kolkata,Joe Ryan,Essential,8-Jan-16,4, ₹ 16.32 , ₹ 65.28 
,Yuvan,Delhi,Steven Miller,Electronics,8-Jan-16,5, ₹ 17.83 , ₹ 89.15 
,Gowtham,Kolkata,Christina Little,Essential,9-Jan-16,7, ₹ 16.32 , ₹ 114.24 
,Kishore,Banglore,Doris Diaz,Electronics,9-Jan-16,4, ₹ 17.83 , ₹ 71.32 
,Yuvan,Delhi,Charles Ray,Electronics,9-Jan-16,10, ₹ 17.83 , ₹ 178.30 
,Kishore,Banglore,Margaret James,Cosmetic,9-Jan-16,5, ₹ 12.42 , ₹ 62.10 
,Yuvan,Kolkata,Virginia Alvarez,Gadgets,9-Jan-16,10, ₹ 53.35 , ₹ 533.50 
,Kishore,Banglore,Frank Garrett,Gadgets,9-Jan-16,10, ₹ 53.35 , ₹ 533.50 
,Yuvan,Chennai,Laura Wells,Cosmetic,9-Jan-16,8, ₹ 12.42 , ₹ 99.36 
,Kishore,Gurgon,Edward Taylor,Gadgets,9-Jan-16,2, ₹ 53.35 , ₹ 106.70 
,Yuvan,Mumbai,Sara Hawkins,Essential,9-Jan-16,8, ₹ 16.32 , ₹ 130.56 
,Kishore,Gurgon,Cynthia Matthews,Cosmetic,10-Jan-16,2, ₹ 12.42 , ₹ 24.84 
,Kishore,Gurgon,Kelly Gomez,Gadgets,10-Jan-16,7, ₹ 53.35 , ₹ 373.45 
,Yuvan,Delhi,Raymond Young,Electronics,10-Jan-16,3, ₹ 17.83 , ₹ 53.49 
,Kishore,Gurgon,Billy Scott,Essential,10-Jan-16,4, ₹ 16.32 , ₹ 65.28 
,Hari,Banglore,Arthur James,Electronics,10-Jan-16,10, ₹ 17.83 , ₹ 178.30 
,Gowtham,Kolkata,Ronald Kim,Cosmetic,10-Jan-16,5, ₹ 12.42 , ₹ 62.10 
,Yuvan,Kolkata,Harold Daniels,Cosmetic,10-Jan-16,2, ₹ 12.42 , ₹ 24.84 
,Kishore,Banglore,Adam Martin,Electronics,10-Jan-16,2, ₹ 17.83 , ₹ 35.66 
,Yuvan,Delhi,Phillip Young,Electronics,10-Jan-16,8, ₹ 17.83 , ₹ 142.64 
,Yuvan,Mumbai,Lois Baker,Cosmetic,11-Jan-16,5, ₹ 12.42 , ₹ 62.10 
,Hari,Banglore,Nicholas Schmidt,Essential,11-Jan-16,4, ₹ 16.32 , ₹ 65.28 
,Yuvan,Chennai,Martha Mills,Cosmetic,11-Jan-16,7, ₹ 12.42 , ₹ 86.94 
,Yuvan,Chennai,Cynthia Lewis,Essential,11-Jan-16,7, ₹ 16.32 , ₹ 114.24 
,Hari,Banglore,John Simpson,Essential,11-Jan-16,5, ₹ 16.32 , ₹ 81.60 
,Kishore,Banglore,Frances Parker,Electronics,11-Jan-16,6, ₹ 17.83 , ₹ 106.98 
,Gowtham,Kolkata,Kenneth Lane,Cosmetic,11-Jan-16,9, ₹ 12.42 , ₹ 111.78 
,Kishore,Gurgon,Gloria Fisher,Cosmetic,11-Jan-16,5, ₹ 12.42 , ₹ 62.10 
,Abi,Kolkata,Mark Alexander,Cosmetic,11-Jan-16,9, ₹ 12.42 , ₹ 111.78 
,Yuvan,Kolkata,Evelyn Greene,Electronics,11-Jan-16,6, ₹ 17.83 , ₹ 106.98 
,Kishore,Banglore,Craig Thomas,Cosmetic,11-Jan-16,7, ₹ 12.42 , ₹ 86.94 
,Yuvan,Kolkata,Nancy Scott,Gadgets,11-Jan-16,8, ₹ 53.35 , ₹ 426.80 
,Yuvan,Chennai,Johnny Fowler,Gadgets,12-Jan-16,9, ₹ 53.35 , ₹ 480.15 
,Yuvan,Delhi,Cheryl Williamson,Cosmetic,12-Jan-16,5, ₹ 12.42 , ₹ 62.10 
,Hari,Banglore,Joseph Willis,Electronics,12-Jan-16,10, ₹ 17.83 , ₹ 178.30 
,Hari,Banglore,Beverly Jacobs,Cosmetic,12-Jan-16,3, ₹ 12.42 , ₹ 37.26 
,Gowtham,Chennai,Benjamin Willis,Electronics,12-Jan-16,3, ₹ 17.83 , ₹ 53.49 
,Hari,Banglore,Donna Williams,Cosmetic,12-Jan-16,8, ₹ 12.42 , ₹ 99.36 
,Kishore,Banglore,Ernest Hernandez,Essential,12-Jan-16,8, ₹ 16.32 , ₹ 130.56 
,Yuvan,Chennai,Benjamin Spencer,Gadgets,12-Jan-16,8, ₹ 53.35 , ₹ 426.80 
,Gowtham,Kolkata,Kimberly Adams,Gadgets,12-Jan-16,9, ₹ 53.35 , ₹ 480.15 
,Gowtham,Chennai,Ernest Bishop,Cosmetic,12-Jan-16,6, ₹ 12.42 , ₹ 74.52 
,Kishore,Gurgon,Kevin Garza,Cosmetic,12-Jan-16,4, ₹ 12.42 , ₹ 49.68 
,Kishore,Banglore,Jason Berry,Electronics,13-Jan-16,6, ₹ 17.83 , ₹ 106.98 
,Yuvan,Delhi,Martha Brown,Essential,13-Jan-16,9, ₹ 16.32 , ₹ 146.88 
,Gowtham,Chennai,Russell Day,Essential,13-Jan-16,10, ₹ 16.32 , ₹ 163.20 
,Yuvan,Chennai,Sean Weaver,Cosmetic,13-Jan-16,6, ₹ 12.42 , ₹ 74.52 
,Yuvan,Delhi,Deborah Wells,Cosmetic,13-Jan-16,1, ₹ 12.42 , ₹ 12.42 
,Yuvan,Kolkata,Sandra Hicks,Essential,13-Jan-16,1, ₹ 16.32 , ₹ 16.32 
,Yuvan,Kolkata,Gloria Harper,Gadgets,13-Jan-16,9, ₹ 53.35 , ₹ 480.15 
,Kishore,Banglore,Beverly Jacobs,Electronics,13-Jan-16,5, ₹ 17.83 , ₹ 89.15 
,Yuvan,Mumbai,Sandra Meyer,Cosmetic,13-Jan-16,9, ₹ 12.42 , ₹ 111.78 
,Kishore,Gurgon,Sharon Rice,Gadgets,13-Jan-16,6, ₹ 53.35 , ₹ 320.10 
,Abi,Delhi,Harold Schmidt,Gadgets,13-Jan-16,2, ₹ 53.35 , ₹ 106.70 
,Kishore,Gurgon,Sharon Wagner,Gadgets,13-Jan-16,8, ₹ 53.35 , ₹ 426.80 
,Yuvan,Delhi,Carl Howard,Gadgets,13-Jan-16,10, ₹ 53.35 , ₹ 533.50 
,Yuvan,Delhi,Matthew Carter,Cosmetic,13-Jan-16,5, ₹ 12.42 , ₹ 62.10 
,Yuvan,Kolkata,Lillian Wood,Essential,13-Jan-16,6, ₹ 16.32 , ₹ 97.92 
,Hari,Gurgon,Terry Pierce,Electronics,13-Jan-16,5, ₹ 17.83 , ₹ 89.15 
,Gowtham,Delhi,Kenneth Nelson,Cosmetic,13-Jan-16,5, ₹ 12.42 , ₹ 62.10 
,Hari,Banglore,Jacqueline Little,Cosmetic,13-Jan-16,10, ₹ 12.42 , ₹ 124.20 
,Gowtham,Chennai,David Allen,Gadgets,13-Jan-16,3, ₹ 53.35 , ₹ 160.05 
,Gowtham,Delhi,Wanda Cole,Cosmetic,13-Jan-16,6, ₹ 12.42 , ₹ 74.52 
,Gowtham,Kolkata,Anthony Berry,Gadgets,14-Jan-16,6, ₹ 53.35 , ₹ 320.10 
,Yuvan,Mumbai,Anna Franklin,Cosmetic,14-Jan-16,4, ₹ 12.42 , ₹ 49.68 
,Hari,Banglore,Gary Weaver,Essential,14-Jan-16,9, ₹ 16.32 , ₹ 146.88 
,Yuvan,Chennai,David Allen,Cosmetic,14-Jan-16,9, ₹ 12.42 , ₹ 111.78 
,Gowtham,Kolkata,Juan Wallace,Cosmetic,14-Jan-16,9, ₹ 12.42 , ₹ 111.78 
,Hari,Banglore,Kelly Wagner,Cosmetic,14-Jan-16,1, ₹ 12.42 , ₹ 12.42 
,Abi,Delhi,Alice Davis,Cosmetic,14-Jan-16,2, ₹ 12.42 , ₹ 24.84 
,Yuvan,Kolkata,Craig Mcdonald,Electronics,14-Jan-16,5, ₹ 17.83 , ₹ 89.15 
,Kishore,Banglore,Gary Cook,Gadgets,14-Jan-16,8, ₹ 53.35 , ₹ 426.80 
,Hari,Banglore,Mildred Moore,Cosmetic,14-Jan-16,6, ₹ 12.42 , ₹ 74.52 
,Gowtham,Kolkata,Wayne Rivera,Cosmetic,15-Jan-16,3, ₹ 12.42 , ₹ 37.26 
,Yuvan,Kolkata,Maria Johnston,Electronics,15-Jan-16,6, ₹ 17.83 , ₹ 106.98 
,Gowtham,Delhi,Louise Rivera,Gadgets,15-Jan-16,7, ₹ 53.35 , ₹ 373.45 
,Yuvan,Delhi,Heather Lawrence,Electronics,15-Jan-16,3, ₹ 17.83 , ₹ 53.49 
,Abi,Kolkata,Jessica Lewis,Electronics,15-Jan-16,3, ₹ 17.83 , ₹ 53.49 
,Yuvan,Kolkata,Lois Castillo,Electronics,15-Jan-16,7, ₹ 17.83 , ₹ 124.81 
,Abi,Delhi,Thomas Robinson,Gadgets,15-Jan-16,10, ₹ 53.35 , ₹ 533.50 
,Kishore,Banglore,Diana Hamilton,Cosmetic,15-Jan-16,5, ₹ 12.42 , ₹ 62.10 
,Kishore,Banglore,Tina Schmidt,Cosmetic,15-Jan-16,4, ₹ 12.42 , ₹ 49.68 
,Hari,Banglore,Martha Bell,Gadgets,15-Jan-16,6, ₹ 53.35 , ₹ 320.10 
,Hari,Banglore,Rachel Stanley,Cosmetic,15-Jan-16,10, ₹ 12.42 , ₹ 124.20 
,Yuvan,Chennai,Marilyn Patterson,Electronics,16-Jan-16,5, ₹ 17.83 , ₹ 89.15 
,Yuvan,Chennai,Joshua Washington,Cosmetic,16-Jan-16,10, ₹ 12.42 , ₹ 124.20 
,Abi,Kolkata,Christopher Oliver,Cosmetic,16-Jan-16,8, ₹ 12.42 , ₹ 99.36 
,Yuvan,Chennai,Maria Hughes,Cosmetic,16-Jan-16,10, ₹ 12.42 , ₹ 124.20 
,Kishore,Banglore,Marilyn Carpenter,Cosmetic,16-Jan-16,9, ₹ 12.42 , ₹ 111.78 
,Yuvan,Delhi,Theresa Ellis,Gadgets,16-Jan-16,5, ₹ 53.35 , ₹ 266.75 
,Yuvan,Delhi,Linda Morrison,Cosmetic,16-Jan-16,2, ₹ 12.42 , ₹ 24.84 
,Yuvan,Delhi,Linda Morrison,Gadgets,16-Jan-16,9, ₹ 53.35 , ₹ 480.15 
,Yuvan,Kolkata,Anthony Berry,Electronics,16-Jan-16,5, ₹ 17.83 , ₹ 89.15 
,Yuvan,Mumbai,Annie Collins,Cosmetic,16-Jan-16,4, ₹ 12.42 , ₹ 49.68 
,Yuvan,Kolkata,Brenda Cruz,Gadgets,16-Jan-16,8, ₹ 53.35 , ₹ 426.80 
,Kishore,Banglore,Arthur Green,Cosmetic,16-Jan-16,4, ₹ 12.42 , ₹ 49.68 
,Hari,Banglore,Walter Reed,Cosmetic,16-Jan-16,7, ₹ 12.42 , ₹ 86.94 
,Yuvan,Kolkata,Evelyn Greene,Cosmetic,16-Jan-16,5, ₹ 12.42 , ₹ 62.10 
,Yuvan,Kolkata,Bonnie Wagner,Electronics,17-Jan-16,8, ₹ 17.83 , ₹ 142.64 
,Abi,Kolkata,Joan Harvey,Cosmetic,17-Jan-16,7, ₹ 12.42 , ₹ 86.94 
,Yuvan,Chennai,Joshua Washington,Essential,17-Jan-16,4, ₹ 16.32 , ₹ 65.28 
,Abi,Delhi,Phillip Young,Cosmetic,17-Jan-16,10, ₹ 12.42 , ₹ 124.20 
,Gowtham,Kolkata,Jeffrey Miller,Gadgets,17-Jan-16,1, ₹ 53.35 , ₹ 53.35 
,Kishore,Banglore,Robin Murphy,Essential,17-Jan-16,9, ₹ 16.32 , ₹ 146.88 
,Kishore,Gurgon,Brian Bryant,Essential,17-Jan-16,5, ₹ 16.32 , ₹ 81.60 
,Gowtham,Kolkata,Billy Reed,Electronics,17-Jan-16,5, ₹ 17.83 , ₹ 89.15 
,Kishore,Banglore,Kathy Porter,Cosmetic,17-Jan-16,5, ₹ 12.42 , ₹ 62.10 
,Yuvan,Delhi,Jean Torres,Cosmetic,17-Jan-16,5, ₹ 12.42 , ₹ 62.10 
,Gowtham,Kolkata,Jimmy Bailey,Cosmetic,17-Jan-16,2, ₹ 12.42 , ₹ 24.84 
,Kishore,Gurgon,Jean Griffin,Cosmetic,17-Jan-16,10, ₹ 12.42 , ₹ 124.20 
,Abi,Chennai,Sean Weaver,Gadgets,18-Jan-16,9, ₹ 53.35 , ₹ 480.15 
,Hari,Banglore,Frances Parker,Essential,18-Jan-16,1, ₹ 16.32 , ₹ 16.32 
,Yuvan,Delhi,Michael Foster,Cosmetic,18-Jan-16,4, ₹ 12.42 , ₹ 49.68 
,Gowtham,Delhi,Cheryl Myers,Cosmetic,18-Jan-16,6, ₹ 12.42 , ₹ 74.52 
,Abi,Delhi,Jerry Palmer,Electronics,18-Jan-16,5, ₹ 17.83 , ₹ 89.15 
,Yuvan,Chennai,Cynthia Mccoy,Gadgets,18-Jan-16,4, ₹ 53.35 , ₹ 213.40 
,Hari,Banglore,Charles Collins,Cosmetic,18-Jan-16,6, ₹ 12.42 , ₹ 74.52 
,Yuvan,Kolkata,Juan Reed,Cosmetic,18-Jan-16,9, ₹ 12.42 , ₹ 111.78 
,Hari,Banglore,Gary Cook,Essential,18-Jan-16,2, ₹ 16.32 , ₹ 32.64 
,Yuvan,Delhi,Carolyn Scott,Essential,18-Jan-16,10, ₹ 16.32 , ₹ 163.20 
,Yuvan,Delhi,Martha Brown,Essential,18-Jan-16,6, ₹ 16.32 , ₹ 97.92 
,Yuvan,Chennai,Adam Russell,Cosmetic,18-Jan-16,1, ₹ 12.42 , ₹ 12.42 
,Yuvan,Kolkata,Debra Allen,Cosmetic,18-Jan-16,1, ₹ 12.42 , ₹ 12.42 
,Kishore,Banglore,Lisa Morrison,Electronics,18-Jan-16,2, ₹ 17.83 , ₹ 35.66 
,Kishore,Banglore,Gary Weaver,Essential,18-Jan-16,4, ₹ 16.32 , ₹ 65.28 
,Yuvan,Kolkata,Ashley Spencer,Electronics,18-Jan-16,3, ₹ 17.83 , ₹ 53.49 
,Kishore,Banglore,Jerry Davis,Electronics,19-Jan-16,7, ₹ 17.83 , ₹ 124.81 
,Yuvan,Delhi,Alice Kelly,Gadgets,19-Jan-16,4, ₹ 53.35 , ₹ 213.40 
,Gowtham,Delhi,Rose Baker,Electronics,19-Jan-16,10, ₹ 17.83 , ₹ 178.30 
,Abi,Delhi,Kevin Torres,Essential,19-Jan-16,4, ₹ 16.32 , ₹ 65.28 
,Yuvan,Kolkata,Joshua Campbell,Electronics,19-Jan-16,10, ₹ 17.83 , ₹ 178.30 
,Abi,Kolkata,Joshua Campbell,Cosmetic,19-Jan-16,10, ₹ 12.42 , ₹ 124.20 
,Gowtham,Delhi,Harold Schmidt,Cosmetic,19-Jan-16,2, ₹ 12.42 , ₹ 24.84 
,Kishore,Banglore,Jeremy Baker,Cosmetic,19-Jan-16,8, ₹ 12.42 , ₹ 99.36 
,Gowtham,Kolkata,Kimberly Little,Cosmetic,19-Jan-16,6, ₹ 12.42 , ₹ 74.52 
,Gowtham,Kolkata,Shirley Murray,Cosmetic,19-Jan-16,1, ₹ 12.42 , ₹ 12.42 
,Yuvan,Kolkata,Nancy Stephens,Cosmetic,19-Jan-16,9, ₹ 12.42 , ₹ 111.78 
,Yuvan,Kolkata,Joe Ryan,Cosmetic,19-Jan-16,2, ₹ 12.42 , ₹ 24.84 
,Yuvan,Delhi,Wanda Cole,Cosmetic,19-Jan-16,2, ₹ 12.42 , ₹ 24.84 
,Gowtham,Kolkata,Antonio Mason,Electronics,19-Jan-16,8, ₹ 17.83 , ₹ 142.64 
,Gowtham,Kolkata,Joan Thompson,Electronics,19-Jan-16,7, ₹ 17.83 , ₹ 124.81 
,Yuvan,Kolkata,Kimberly Adams,Essential,19-Jan-16,3, ₹ 16.32 , ₹ 48.96 
,Abi,Delhi,Linda Morrison,Cosmetic,20-Jan-16,4, ₹ 12.42 , ₹ 49.68 
,Yuvan,Delhi,Virginia Foster,Cosmetic,20-Jan-16,1, ₹ 12.42 , ₹ 12.42 
,Yuvan,Delhi,Janice Mason,Cosmetic,20-Jan-16,4, ₹ 12.42 , ₹ 49.68 
,Kishore,Banglore,Russell Cooper,Essential,20-Jan-16,4, ₹ 16.32 , ₹ 65.28 
,Abi,Delhi,Roger Gomez,Cosmetic,20-Jan-16,5, ₹ 12.42 , ₹ 62.10 
,Gowtham,Chennai,Jacqueline Wheeler,Cosmetic,20-Jan-16,8, ₹ 12.42 , ₹ 99.36 
